source,target
2975,6384
2975,2975
2975,530
2975,1331
2975,9364
2975,532
6384,6384
6384,530
6384,1331
6384,9364
6384,43068
6384,1174401
6384,18352
6384,5950
6384,6465
6384,532
530,530
530,1331
530,9364
530,5049
530,975
530,35690
530,532
1331,1331
1331,9364
1331,79966
1331,3489
1331,75738
1331,92172
1331,38784
1331,532
1331,584382
9364,9364
532,9364
532,69597
532,68812
532,198
532,532
532,12688
532,3223
532,1894
532,43372
532,240275
532,12930
532,5049
532,975
532,35690
532,975133
532,19189
532,19654
532,68750
532,11514
532,98
532,9029
532,55155
