id,name
2975,Laurence Fishburne
6384,Keanu Reeves
530,Carrie-Anne Moss
1331,Hugo Weaving
9364,Gloria Foster
532,Joe Pantoliano
43068,Sherrie Rose
1174401,Melissa Behr
18352,Patrick Dempsey
5950,Seymour Cassel
6465,Grace Zabriskie
5049,John Hurt
975,Nick Moran
35690,Shawn Wayans
79966,Claudia Karvan
3489,Naomi Watts
75738,Tom Long
92172,Aaron Jeffery
38784,Alice Garner
584382,Alana De Roma
69597,Drew Barrymore
68812,Ed Asner
198,Dan Castellaneta
12688,Peter MacNicol
3223,Robert Downey Jr.
1894,Scott Caan
43372,Stacy Edwards
240275,Allan Houston
12930,Gaby Hoffmann
975133,Wade Dominguez
19189,Elizabeth Berkley
19654,Michael Chiklis
68750,Robert Townsend
11514,Catherine O'Hara
98,Sarah Polley
9029,Stephen Rea
55155,Bernard Behrens
